0,966,317,988
0,77,158,104
412,295,458,314
0,15,364,61
412,335,458,356
348,177,458,224
31,606,285,624
0,488,221,513
412,567,458,591
0,179,190,223
0,109,79,136
15,333,174,356
0,726,174,749
412,489,458,513
0,945,428,960
412,882,458,902
412,692,458,708
301,256,458,276
412,802,458,824
0,881,190,903
412,452,458,471
0,803,158,826
0,843,158,864
412,638,458,658
0,294,126,315
0,451,158,471
0,410,174,433
0,926,428,941
412,766,458,785
15,529,174,550
0,691,158,710
412,845,458,864
412,606,458,627
412,528,458,548
0,637,110,658
0,768,110,787
15,568,174,591
412,726,458,748
15,369,142,390
